MHP,"Ace College of Engineering, .Thiruvallam.",Pathanamthitta,47531,EEE
MHP,"Ace College of Engineering, .Thiruvallam.",Pathanamthitta,47521,CE
MHP,"Ace College of Engineering, .Thiruvallam.",Pathanamthitta,47025,ECE
MHP,"Ace College of Engineering, .Thiruvallam.",Pathanamthitta,40380,ME
ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Ernakulam,47618,CE
ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Ernakulam,47614,ECE
ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Ernakulam,47406,ME
ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Ernakulam,47205,EEE
ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Ernakulam,15100,CSE
ATP,"Ahalia School of Engineering & Technology, Pudussery,",Palakkad,47326,CE
ATP,"Ahalia School of Engineering & Technology, Pudussery,",Palakkad,45827,ECE
ATP,"Ahalia School of Engineering & Technology, Pudussery,",Palakkad,45386,EEE
ATP,"Ahalia School of Engineering & Technology, Pudussery,",Palakkad,42425,ME
ATP,"Ahalia School of Engineering & Technology, Pudussery,",Palakkad,33010,CSE
AAP,"Al-Ameen College of Engineering, Pattambi.",Palakkad,25139,ME
AAP,"Al-Ameen College of Engineering, Pattambi.",Palakkad,0,CE
AAP,"Al-Ameen College of Engineering, Pattambi.",Palakkad,0,ECE
AAP,"Al-Ameen College of Engineering, Pattambi.",Palakkad,0,EEE
AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Idukki,47480,AE
AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Idukki,46364,ECE
AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Idukki,45972,CE
AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Idukki,45594,ME
AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Idukki,43719,CSE
AIK,"Albertian Institute of Science and Technology, Kalamassery.",Ernakulam,46718,CE
AIK,"Albertian Institute of Science and Technology, Kalamassery.",Ernakulam,46158,EEE
AIK,"Albertian Institute of Science and Technology, Kalamassery.",Ernakulam,45578,ME
AIK,"Albertian Institute of Science and Technology, Kalamassery.",Ernakulam,45084,ECE
AIK,"Albertian Institute of Science and Technology, Kalamassery.",Ernakulam,21271,CSE
AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Kottayam,47486,CE
AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Kottayam,47419,ME
AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Kottayam,47337,EEE
AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Kottayam,46373,AE
AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Kottayam,39439,ECE
AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Kottayam,25676,IT
AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Kottayam,21028,CHE
